orientation,radius,std_dev,avg_intensity,center_edge_diff,edge_strength,hue_weighted,sat_weighted,val_weighted,label
-0.23658152651262407,368.0639835821897,35.899074340801164,122.3996903096435,114,660960,2.50879725,5.0205435000000005,13.646660999999998,quarter
-0.6134819173426824,367.8751877268582,35.76253795784713,122.35762977762457,105,657645,2.506153,5.015441,13.62839125,quarter
-0.9361708097100861,367.9729497929823,35.76498595513799,122.37783355833052,110,653565,2.50720175,5.0166215,13.638046500000002,quarter
-1.2602289934853352,368.03674067620045,35.781468260132804,122.40621778652422,104,663510,2.50862075,5.017396,13.646002499999998,quarter
1.503066820271491,367.95478358641975,35.75671272960246,122.36850901641074,95,654330,2.506943,5.016234,13.63521425,quarter
1.1557813214793236,367.87259191974886,35.76084647686973,122.35803508409913,106,668865,2.50607275,5.0153645000000004,13.6291255,quarter
0.7962661553478069,368.0970615431254,35.79144289057541,122.42576766430042,102,656880,2.508887,5.0177475000000005,13.652554249999998,quarter
0.44299116244791475,368.01728022292997,35.774498841101206,122.3930241004792,105,652290,2.50804575,5.0169835,13.64212575,quarter
0.13391990311062868,367.9091478492164,35.75397889987272,122.36079805877596,104,663255,2.50690475,5.01637075,13.63173675,quarter
-0.21457034675511144,367.93272341548203,35.87891369076339,122.35935346242205,116,668100,2.5071135,5.019487,13.63294175,quarter
-0.5926241543126735,367.89898177191424,35.76877330292213,122.36435936994434,115,654585,2.5064254999999998,5.0156475,13.6312085,quarter
-0.9278626876725924,368.14548404664157,35.80756577326185,122.44188099430541,124,660195,2.50974625,5.0182325,13.657336999999998,quarter
-1.2595076953254498,367.98246506708,35.78661742217391,122.39936121701516,111,674475,2.5077842500000003,5.0168525,13.642649,quarter
1.5247637443185258,367.98441134283473,35.76590836424791,122.38457356056772,95,656625,2.507543,5.01638825,13.639235750000001,quarter
1.1343190369331986,367.9139063420743,35.75959808850897,122.35836758427138,108,657135,2.50648075,5.01591875,13.630793,quarter
0.7858185405052973,367.89227633313453,35.76902028174167,122.36757603323612,119,671925,2.506447,5.01608475,13.63235925,quarter
0.4631922629290356,368.04647051697145,35.77981743917247,122.40215967743069,115,648720,2.5083937499999998,5.01717,13.6452335,quarter
0.1157668752136354,367.93510251715264,35.74886625468809,122.36455102734507,111,659940,2.50701625,5.016489999999999,13.633635250000001,quarter
