orientation,radius,std_dev,avg_intensity,center_edge_diff,edge_strength,hue_weighted,sat_weighted,val_weighted,label
-0.29510473708832313,367.2319490582827,35.70391632754191,122.09087356976578,115,635205,2.49682725,5.012576,13.550164500000001,quarter
-0.594023898907182,367.35046231496216,35.622480201143915,122.14772299586,102,628320,2.4980315,5.0107265000000005,13.56493,quarter
-0.8645428732396784,367.16931874898205,35.595590763891266,122.09008200832092,107,629850,2.49605,5.010028999999999,13.546403000000002,quarter
-1.096267247798181,367.15848197125587,35.582494708903404,122.08500824111137,111,629085,2.4960692499999997,5.0103385,13.545290999999999,quarter
-1.3351099673563787,366.8859402048142,35.503573769083886,121.97792487713771,97,625515,2.49197625,5.00742875,13.5135105,quarter
1.5541311539548426,366.9340887916206,35.51585432637315,121.99378545192212,79,638010,2.492716,5.0072045,13.518989000000001,quarter
1.2839710194047955,367.18362280585944,35.690459588970924,122.06883236444375,103,638520,2.49600575,5.01225225,13.543913250000001,quarter
0.9915848435567313,367.24820085315196,35.59629096754506,122.11083756596074,99,626790,2.49671925,5.009784,13.55319675,quarter
0.7124372874424549,367.12466916881885,35.58027345841948,122.07670116009062,98,629595,2.49551875,5.00964625,13.54186225,quarter
0.46022842473879744,367.08608408988255,35.57063915200476,122.06056166171211,101,626535,2.4949905,5.009483250000001,13.537112500000001,quarter
0.22886539394275196,366.76315439555873,35.48133219125611,121.93604474177906,105,626025,2.49029825,5.00640125,13.50018,quarter
-0.0475781668939131,367.02776523412035,35.53711246158188,122.02821225759325,108,636990,2.4937475,5.00818825,13.529591749999998,quarter
-0.29318351133186676,367.2802689520016,35.71843850880059,122.11063158885543,116,634695,2.49742075,5.0131784999999995,13.55587225,quarter
-0.5665606443718337,367.35501142195045,35.62343867308584,122.1530109401058,115,629340,2.4983095,5.01076575,13.5655645,quarter
-0.8554161426332818,367.1482951085456,35.59311959495258,122.08728024526818,117,636480,2.49564675,5.00986875,13.5448135,quarter
-1.0802387770721935,367.1469946376426,35.58003084879086,122.07831926757592,124,630105,2.4959647499999997,5.0101195,13.543771,quarter
-1.3430915105647516,366.79721747614974,35.48467501825862,121.94423655873388,106,626025,2.4905735,5.006576750000001,13.50366825,quarter
1.5245119631884543,367.10039138999616,35.54712604160038,122.04741355958554,102,629850,2.49449625,5.0085865,13.53641275,quarter
1.2536096682640148,367.37125777277845,35.734982177811474,122.13943894195376,94,639795,2.49858925,5.01401525,13.56521,quarter
0.9808860605758525,367.3134174894074,35.60645361938933,122.13034046768134,111,627555,2.4973475,5.01019375,13.5604345,quarter
0.7389504174901534,367.4594087778834,35.66173184106945,122.19545042101353,121,635460,2.4997625,5.01264125,13.579094750000001,quarter
0.5084706916404695,367.2425669790427,35.608986587670294,122.11760344933089,117,632400,2.49720825,5.011051,13.554784999999999,quarter
0.24879362693319487,366.8395207200947,35.49263592531133,121.95924601470983,111,623985,2.491441,5.0068269999999995,13.507909,quarter
-0.04616694553667044,367.1669346853248,35.56597477788428,122.07443702496774,111,636735,2.495513,5.009237,13.544520250000001,quarter
-0.29749348294010536,307.7381379723448,33.26090950830242,126.38360551396077,71,528360,1.7529832500000002,2.9091899999999997,9.783065749999999,nickel
-0.5747256159103253,307.55422676033504,33.11917262324485,126.33293532872274,84,527595,1.75013175,2.90654425,9.76781625,nickel
-0.8178273223331166,307.4809938016537,33.11164262241013,126.30978547195834,87,529125,1.748688,2.90663525,9.76141425,nickel
-1.058613257704212,307.2912315312076,33.05963138486706,126.2339559885772,90,528870,1.7465074999999999,2.90513775,9.74445975,nickel
-1.3210813679599496,307.4520063288355,33.111091457125106,126.3013676561897,92,528360,1.74841875,2.90634725,9.75928575,nickel
1.5244079965399382,307.8025197159955,33.177394570507175,126.42772328947854,85,528615,1.75307475,2.90802025,9.790428499999999,nickel
1.2786585373390549,307.7513256913504,33.27288941748386,126.3956528729626,78,522750,1.75300375,2.90940625,9.78473275,nickel
1.0621473498348095,306.5450261376749,44.88211638227922,150.1959159694508,18,514845,1.77760125,2.27926925,11.428412250000001,nickel
0.8291584912898725,306.2783063215421,44.89437220891206,150.1363834673178,3,515865,1.7745994999999999,2.278164,11.405013499999999,nickel
0.6395006536438979,306.40818917701654,44.88807864833446,150.17007126853946,2,512550,1.7761144999999998,2.279188,11.416720999999999,nickel
0.3346007676400741,306.4666185034416,44.88189323380554,150.17551901419392,1,516120,1.7772382500000001,2.2790685,11.421581,nickel
-0.019852944062536543,307.72469108871513,33.155947202764295,126.39609702167577,77,529890,1.7521517500000001,2.9074227500000003,9.78332,nickel
-0.32275571042582607,307.65770651063553,33.243590099101326,126.35112804888267,77,520455,1.75188275,2.9087635,9.775255,nickel
-0.5478654068049498,307.5865679219983,33.130010267402746,126.34655082222282,76,528360,1.75049375,2.9068015000000003,9.770909750000001,nickel
-0.8223569814449626,307.3867745202567,33.07936011777998,126.26681977979914,78,528870,1.747829,2.9058385,9.75234175,nickel
-1.0351760955194502,307.52628125786856,33.12763279602113,126.33038688489394,51,527850,1.74922525,2.9066885,9.76603575,nickel
-1.3179414263181695,307.44915919750423,33.112734562828265,126.30041215798943,30,525045,1.74838175,2.906263,9.7588395,nickel
1.5359032131992396,307.72029486469137,33.165148277991904,126.398985533466,53,526830,1.7520455,2.90751025,9.783422,nickel
1.2984585478142794,307.8857564668938,33.30261344610677,126.44504052851052,54,523770,1.7545169999999999,2.91010825,9.7968695,nickel
1.0270657974520865,306.6358708302568,44.880286007695354,150.2207198391059,18,514080,1.7786062500000002,2.2799424999999998,11.4364005,nickel
