orientation,radius,std_dev,avg_intensity,center_edge_diff,edge_strength,hue_weighted,sat_weighted,val_weighted,label
0.0006461872389148256,981.983437036452,18.496656736685065,169.9021167074085,155,1792140,20.60523975,3.7275892500000003,129.59175625,penny
-0.3490540165024878,981.9329493831935,17.998708967544218,169.9433745174611,154,1684530,19.76444325,3.72781025,129.5984145,penny
-0.6981329799119086,982.0607437575504,18.0402584056524,169.9330828319734,154,2294490,19.771232,3.72774925,129.59846375,penny
-1.0471688700401884,981.9968081310313,18.02767864424705,169.93570692506435,10,1794945,19.769669999999998,3.7275982500000002,129.59847,penny
-1.3962424413696968,981.8916983141997,17.987889828697885,169.94659336259824,19,1763325,19.76439275,3.72762375,129.59838125,penny
1.396286874970753,981.8922656294554,17.988285446679807,169.94672301985554,17,1763835,19.767617,3.7276652500000003,129.5984085,penny
1.0471935180375216,981.994377036468,18.024086205935745,169.93719348924327,14,1794945,19.76935825,3.7278195,129.5986055,penny
0.6981414214365131,982.0617971614074,18.04239616641983,169.93273874865503,158,2293215,19.76876325,3.7279315000000004,129.59836275,penny
0.3490740461960402,981.9335977162214,17.99938655609093,169.94258182127567,159,1685040,19.770932,3.7277370000000003,129.59850875,penny
0.0008285170375919881,982.0179583997843,18.547081029218695,169.89056390904315,160,1792140,20.60523975,3.7275892500000003,129.59175625,penny
-0.3490574904636792,981.9346512564786,18.00116707598527,169.94273231042789,158,1685550,19.764190499999998,3.7278192499999996,129.59841175,penny
-0.6981156331670277,982.0630936569111,18.04334539138239,169.93302407144768,159,2297550,19.77120925,3.7277455,129.5984555,penny
-1.0471943180877057,982.0010220140173,18.034741329742396,169.93443429497378,11,1793415,19.76970425,3.7275937500000005,129.598469,penny
-1.3962658708093796,981.8904015923845,17.9857505081005,169.9468402294897,11,1763325,19.76400425,3.72762425,129.5983875,penny
1.3962866366209798,981.8914551789899,17.98690403765853,169.9472255209661,15,1763835,19.76808325,3.7276852499999995,129.59840775,penny
1.047195039789136,981.9959977668457,18.026818858784964,169.9367023783104,12,1793670,19.769443250000002,3.7278335,129.5986125,penny
0.6981360372867689,982.0621212854438,18.043061449367343,169.93265470661265,162,2293215,19.7687855,3.7279345,129.59836625,penny
0.34908366070530383,981.932625216519,17.997992123663387,169.94383088488442,159,1684275,19.77066,3.7277424999999997,129.598513,penny
1.465951572246196,163.30876574407142,41.87097440670201,135.87653063641315,70,338640,0.31302375,2.416537,3.56384525,penny
1.2772212402072005,163.1000755769557,41.64307847779398,135.79601676899873,97,322320,0.31180475,2.4136765000000002,3.55390625,penny
0.9585832992396958,162.59920306243654,41.648932476320304,135.5696609218054,53,343995,0.3095935,2.411249,3.53227275,penny
0.4290695039500414,163.05957436756677,41.669151950993744,135.80460015919974,14,331245,0.311009,2.41324675,3.5527225000000002,penny
0.09503990147656532,162.88476700816787,41.66843312170792,135.7282945182645,42,324105,0.31029225,2.4116215,3.5443492500000002,penny
-0.1937920456969394,163.08690158852482,41.66471714055679,135.81051706320454,48,326400,0.31138325,2.4132059999999997,3.5532205,penny
-0.5571041253357873,163.27221548114088,41.64199573007025,135.87546373668053,47,318495,0.31216125,2.41444175,3.5612922499999997,penny
-0.9064310453114275,162.60458646948888,41.66997906122392,135.59022758497102,53,334050,0.3095345,2.4104702500000004,3.5315160000000003,penny
-1.1990182873540058,163.0102761904284,41.645012140127285,135.75245112603244,48,341700,0.3108165,2.41354575,3.5508794999999997,penny
1.5200148754325677,163.26831630348664,41.89851835721278,135.88065838744845,51,332520,0.3137445,2.4164915000000002,3.56190725,penny
1.1453499485890313,162.35627485491864,41.668085031158505,135.4721756219144,46,330225,0.30762575,2.4095697499999997,3.5203675,penny
0.8076095294133733,163.0063707470816,41.63771416096012,135.73495981357303,46,331755,0.31104350000000003,2.4128215,3.549109,penny
0.5077749027807258,162.959986452323,41.65537194887705,135.7194913036237,40,327420,0.311265,2.41313275,3.5472384999999997,penny
0.05827842764590154,163.3409232100029,41.67033197007627,135.94737278400814,44,321555,0.3124505,2.41445325,3.565117,penny
-0.253478590719941,163.08348593632508,41.65932298437703,135.8092806156989,33,325635,0.3116295,2.4128695000000002,3.5533212499999998,penny
-0.5539419560255181,163.2049416101529,41.65754377339351,135.87305767086565,7,327675,0.31163675,2.4135969999999998,3.5587757499999997,penny
-0.8517091886222334,162.74742635229694,41.666251764814625,135.65766754114,64,340935,0.31036075,2.41204675,3.5387939999999998,penny
-1.2754740767186392,163.12642036204812,41.6513901561607,135.79510590805472,67,322320,0.31088225,2.4137475,3.554464,penny
1.523462792296209,202.66739030585057,41.66279994319228,135.19534271056403,84,404175,0.47883975,3.76373875,5.4707335,penny
1.2795124271551375,202.49651526171755,41.5288850234789,135.1509190807649,101,396270,0.476576,3.76122375,5.4615625,penny
0.8996820032752116,202.2165185479603,41.5335665562712,135.06679302208642,59,423555,0.47493025,3.7588975,5.44733525,penny
0.5098170790623431,202.17755571351506,41.509271076280385,135.0113738355359,1,426105,0.47521024999999995,3.7589999999999995,5.44509475,penny
0.17795535687477396,202.69605177267192,41.543479743034474,135.26180320295657,40,413355,0.47732425,3.7631360000000003,5.475512,penny
-0.245047089013881,202.4277317417204,41.507849334689276,135.12059130032034,44,416925,0.4759405,3.76003975,5.45866625,penny
-0.513967984445241,202.2739651941124,41.53592926966934,135.09479772361746,43,416415,0.47454599999999997,3.7590847500000004,5.4505704999999995,penny
-0.9214947580875884,202.14212843792166,41.51635185015121,135.02911719632823,45,443190,0.47519824999999993,3.7583477499999995,5.4439135,penny
